X,Y,objectid,id,pavadinimas,gatve,kryptis,atsakingas,savivaldybe,peronas,paviljonas,paviljono_piklausomybe,paviljono_tipas,suolas,siuksliu_deze,svieslente,transporto_balsas,GlobalID
582312.0,6059565.0001,432,1506,Dzūkų st.,Dzūkų g.,į stotį,SĮSP,Vilniaus miesto,yra,yra,JCDecaux, ,nėra,reikia perkelti,nėra,nėra,6f72aefa-3b31-47ff-ae19-61b6bfa1947e
582591.375,6059398.5001,433,1507,Rudaminos st.,Dzūkų g.,iš stoties,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,2037bd77-b55e-42ed-84a0-ddcad8fdeb58
582559.0625,6059437.0001,434,1508,Rudaminos st.,Dzūkų g.,į stotį,SĮSP,Vilniaus miesto,yra,yra,JCDecaux, ,nėra,yra,nėra,dingęs,15b0df9f-b20e-46a5-a7bf-a78af4b5e3e0
583040.0,6059394.5001,435,1510,Merkinės st.,Dzūkų g.,link Liepkalnio g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux, ,nėra,yra,nėra,yra - veikia,05f1ae25-1c81-4eca-96fb-1f8ba31c35e9
582977.625,6059398.0001,436,1511,Merkinės st.,Dzūkų g.,į stotį,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,916370dd-c9b9-446e-bdc2-a0d257bf8b8d
583458.625,6059409.0001,437,1512,Perlojos st.,Dzūkų g.,iš stoties,SĮSP,Vilniaus miesto,reikalingas remontas,yra,JCDecaux,Standartinis,nėra,reikia perkelti,nėra,yra - neveikia,183e5d52-a635-4087-87f3-66650ea15973
584001.3295,6058348.9329,438,1513,Žirnių st.,Žirnių g.,iš stoties,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Stiklinis,yra,yra,nėra,nėra,029036b2-61db-47be-a117-25480ac2788d
574568.75,6053469.5001,439,2809,Slėnis,V.A Graičiūno g.,į miestą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,yra,reikia perkelti (seno tipo),nėra,nėra,8f8217e2-9c58-4342-8ad3-d761a8d60ede
582728.9975,6057951.3102,440,1520,Vikingų st.,Vikingų g.,iš stoties,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,,nėra,yra,nėra,nėra,0e2c4e30-5a4b-4276-a30a-bf4256bb7794
582765.3175,6058015.9478,441,1521,Vikingų st.,Vikingų g.,į stotį,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,ecce1818-b22a-4baa-8f50-31da00559e76
